date,max_temp,month,holiday,weekend,n_rides
2015-05-31,83.0,May,False,True,469
2015-06-01,56.0,June,False,False,113
2015-06-02,63.0,June,False,False,139
2015-06-03,71.0,June,False,False,131
2015-06-04,78.0,June,False,False,207
2015-06-05,83.0,June,False,False,270
2015-06-06,76.0,June,False,True,368
2015-06-07,85.0,June,False,True,414
2015-06-08,80.0,June,False,False,121
2015-06-09,76.0,June,False,False,249
2015-06-10,86.0,June,False,False,263
2015-06-11,90.0,June,False,False,216
2015-06-12,90.0,June,False,False,265
2015-06-13,85.0,June,False,True,344
2015-06-14,85.0,June,False,True,304
2015-06-15,84.0,June,False,False,180
2015-06-16,82.0,June,False,False,314
2015-06-17,73.0,June,False,False,296
2015-06-18,85.0,June,False,False,254
2015-06-19,79.0,June,False,False,289
2015-06-20,76.0,June,False,True,218
2015-06-21,84.0,June,False,True,454
2015-06-22,85.0,June,False,False,460
2015-06-23,84.0,June,False,False,376
2015-06-24,80.0,June,False,False,452
2015-06-25,75.0,June,False,False,200
2015-06-26,81.0,June,False,False,378
2015-06-27,76.0,June,False,True,183
2015-06-28,67.0,June,False,True,466
2015-06-29,76.0,June,False,False,305
2015-06-30,77.0,June,False,False,255
2015-07-01,75.0,July,False,False,387
2015-07-02,78.0,July,False,False,467
2015-07-03,79.0,July,True,False,593
2015-07-04,80.0,July,False,True,757
2015-07-05,82.0,July,False,True,600
2015-07-06,83.0,July,False,False,278
2015-07-07,85.0,July,False,False,291
2015-07-08,73.0,July,False,False,324
2015-07-09,82.0,July,False,False,228
2015-07-10,73.0,July,False,False,359
2015-07-11,83.0,July,False,True,663
2015-07-12,80.0,July,False,True,396
2015-07-13,82.0,July,False,False,297
2015-07-14,80.0,July,False,False,245
2015-07-15,77.0,July,False,False,347
2015-07-16,80.0,July,False,False,494
2015-07-17,83.0,July,False,False,417
2015-07-18,88.0,July,False,True,557
2015-07-19,88.0,July,False,True,402
2015-07-20,85.0,July,False,False,336
2015-07-21,84.0,July,False,False,343
2015-07-22,78.0,July,False,False,490
2015-07-23,81.0,July,False,False,469
2015-07-24,85.0,July,False,False,442
2015-07-25,87.0,July,False,True,649
2015-07-26,87.0,July,False,True,855
2015-07-27,89.0,July,False,False,369
2015-07-28,92.0,July,False,False,323
2015-07-29,91.0,July,False,False,328
2015-07-30,87.0,July,False,False,330
2015-07-31,87.0,July,False,False,460
2015-08-01,83.0,August,False,True,544
2015-08-02,87.0,August,False,True,537
2015-08-03,84.0,August,False,False,250
2015-08-04,83.0,August,False,False,384
2015-08-05,80.0,August,False,False,435
2015-08-06,72.0,August,False,False,404
2015-08-07,78.0,August,False,False,452
2015-08-08,85.0,August,False,True,534
2015-08-09,85.0,August,False,True,523
2015-08-10,84.0,August,False,False,296
2015-08-11,83.0,August,False,False,417
2015-08-12,79.0,August,False,False,392
2015-08-13,79.0,August,False,False,416
2015-08-14,86.0,August,False,False,403
2015-08-15,87.0,August,False,True,561
2015-08-16,89.0,August,False,True,429
2015-08-17,90.0,August,False,False,410
2015-08-18,80.0,August,False,False,282
2015-08-19,88.0,August,False,False,420
2015-08-20,80.0,August,False,False,391
2015-08-21,79.0,August,False,False,493
2015-08-22,80.0,August,False,True,676
2015-08-23,83.0,August,False,True,567
2015-08-24,79.0,August,False,False,344
2015-08-25,71.0,August,False,False,363
2015-08-26,68.0,August,False,False,361
2015-08-27,70.0,August,False,False,383
2015-08-28,80.0,August,False,False,429
2015-08-29,84.0,August,False,True,617
2015-08-30,84.0,August,False,True,449
2015-08-31,88.0,August,False,False,307
2015-09-01,89.0,September,False,False,292
2015-09-02,90.0,September,False,False,315
2015-09-03,90.0,September,False,False,381
2015-09-04,89.0,September,False,False,348
2015-09-05,88.0,September,False,True,356
2015-09-06,88.0,September,False,True,581
2015-09-07,91.0,September,True,False,548
2015-09-08,91.0,September,False,False,309
2015-09-09,91.0,September,False,False,218
2015-09-10,74.0,September,False,False,255
2015-09-11,81.0,September,False,False,374
2015-09-12,66.0,September,False,True,152
2015-09-13,64.0,September,False,True,210
2015-09-14,74.0,September,False,False,321
2015-09-15,80.0,September,False,False,375
2015-09-16,83.0,September,False,False,383
